DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2019,31.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2020,31.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2011,34.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2012,34.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2013,33.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2014,34.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2015,34.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2016,34.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2017,34.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2018,33.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2019,33.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,ES,2020,32.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2011,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2012,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2013,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2014,31.0,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2015,31.0,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2016,30.8,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2017,30.6,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2018,30.8,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU,2019,30.6,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2011,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2012,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2013,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2014,31.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2015,31.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2016,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2017,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2018,30.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2007,2019,30.6,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2011,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2012,30.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2013,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2014,30.9,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EU27_2020,2015,30.8,e
